Edo,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO
AGS,-16.61,-16.81,0.21,-10.47,-20.04,-110.09,7.44,24.08
BC,-5.41,22.93,-0.52,1.54,6.09,0.02,-0.52,-0.05
BCS,6.62,-4.12,1.3,0.0,0.0,-33.62,-0.88,-1.0
CAMP,-50.11,-5.44,22.16,-50.0,37.55,46.18,-13.57,-111.62
CHIH,10.66,-4.28,4.91,-0.34,-2.01,-15.66,-8.35,-10.14
CHIS,-45.86,26.03,7.79,-54.38,56.64,43.7,44.97,20.6
COAH,2.88,-2.22,4.67,9.14,24.9,32.37,-10.29,-11.65
COL,-0.94,-0.69,0.01,0.0,-5.69,-74.92,55.15,-22.15
DF,,,,,,,,
DGO,1.53,-7.82,0.14,-0.44,-3.89,-23.94,4.97,-2.62
GRO,-0.59,-0.58,-0.49,-8.46,-3.37,-56.5,43.07,-32.26
GTO,0.15,-7.63,0.11,-6.27,-25.66,-109.89,39.54,-9.38
HGO,-5.94,-3.78,1.51,-9.61,1.81,-4.72,16.85,-1.79
JAL,0.11,-8.01,0.05,-0.63,-26.05,-72.42,32.05,-27.75
MEX,-3.38,-4.72,-5.65,-24.38,-30.32,-47.43,43.4,-62.22
MICH,-4.29,-11.38,0.31,-4.79,-39.86,-64.81,32.98,-32.35
MOR,-0.82,-0.61,-0.83,-26.1,-14.04,-73.77,67.39,-66.53
NAY,-1.79,-4.63,0.0,0.0,-9.34,-81.37,-16.47,-82.12
NL,1.87,-12.26,38.3,-56.78,15.15,10.82,-6.83,13.91
OAX,-8.68,-13.09,-2.91,-41.21,31.97,-44.83,9.07,-64.49
PUE,-26.33,-4.05,-14.82,-52.31,-1.15,-13.8,45.88,-65.16
QRO,2.86,-3.07,0.03,-4.74,-34.76,-47.95,30.35,-18.32
QROO,3.11,46.22,-24.21,-0.47,-72.69,-82.47,-13.79,8.4
SIN,3.07,-3.83,2.57,0.0,-0.06,-38.32,7.01,19.78
SLP,-1.15,-5.11,0.41,-54.91,-20.04,25.22,-5.64,-15.87
SON,9.86,-0.55,16.73,0.41,1.97,-23.74,-4.87,-13.72
TAB,-87.09,36.7,32.33,-29.89,4.57,56.97,7.64,-46.91
TAMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLAX,-2.61,-2.48,-3.22,-36.24,-6.11,-11.28,57.57,-8.01
VER,-28.67,-11.35,-20.32,-43.69,-0.24,5.44,-0.38,-76.92
YUC,-14.14,14.78,4.21,-15.93,-26.5,17.65,8.84,-19.26
ZAC,-12.65,-14.77,0.54,-2.18,-20.53,-57.86,29.36,6.64
